Feature,Type,Correlation,F-Score,P-Value,Mutual Information
Curricular units 2nd sem (approved),Numerical,0.5841599666414194,2276.654510203482,0.0,0.21451430694151696
Curricular units 2nd sem (grade),Numerical,0.5723793912900438,2141.4645325702295,0.0,0.19329592372982107
Curricular units 1st sem (approved),Numerical,0.5271870981740231,1691.6357733066304,3.9012565244e-313,0.1644767736962207
Curricular units 1st sem (grade),Numerical,0.4805563528117922,1319.7271273340878,6.351755067680195e-253,0.1415677964535762
Tuition fees up to date,Numerical,0.42913849301576906,992.0846874398115,1.58327952236715e-196,0.08539886194660795
Curricular units 2nd sem (evaluations),Numerical,0.1622261673373498,118.79092240764946,2.594539402253508e-27,0.06441538109097733
Previous qualification (grade),Numerical,0.08093871816020576,28.98184169866151,7.686815213725849e-08,0.04420255365480741
Age at enrollment,Numerical,-0.2906849199733108,405.64343800564563,2.304331090593153e-86,0.04075528654436811
Admission grade,Numerical,0.09678709015050563,41.560549357641975,1.265849722587762e-10,0.027428907644054368
Course,Numerical,0.0038762938488467232,0.06603874163626172,0.7972062098207444,0.025936652929476667
